Alpha,Cl,Cd
-8.01,-0.836153,0.042533
-8.00,-0.837100,0.042180
-7.99,-0.835145,0.042313
-7.98,-0.834646,0.042203
-7.97,-0.834148,0.042093
-7.96,-0.833651,0.041982
-7.95,-0.833156,0.041872
-7.94,-0.832660,0.041761
-7.93,-0.832164,0.041651
-7.92,-0.831668,0.041540
-7.91,-0.831170,0.041430
-7.90,-0.830670,0.041320
-7.89,-0.830167,0.041210
-7.88,-0.829661,0.041101
-7.87,-0.829152,0.040992
-7.86,-0.828638,0.040883
-7.85,-0.828119,0.040775
-7.84,-0.827595,0.040668
-7.83,-0.827065,0.040561
-7.82,-0.826529,0.040455
-7.81,-0.825985,0.040349
-7.80,-0.825434,0.040245
-7.79,-0.824874,0.040141
-7.78,-0.824306,0.040038
-7.77,-0.823728,0.039936
-7.76,-0.823141,0.039835
-7.75,-0.822543,0.039735
-7.74,-0.821934,0.039636
-7.73,-0.821314,0.039539
-7.72,-0.820685,0.039442
-7.71,-0.820046,0.039347
-7.70,-0.819398,0.039252
-7.69,-0.818741,0.039158
-7.68,-0.818077,0.039065
-7.67,-0.817405,0.038973
-7.66,-0.816726,0.038882
-7.65,-0.816041,0.038792
-7.64,-0.815349,0.038702
-7.63,-0.814653,0.038613
-7.62,-0.813951,0.038524
-7.61,-0.813245,0.038436
-7.60,-0.812535,0.038349
-7.59,-0.811822,0.038262
-7.58,-0.811105,0.038176
-7.57,-0.810387,0.038090
-7.56,-0.809666,0.038004
-7.55,-0.808945,0.037919
-7.54,-0.808222,0.037833
-7.53,-0.807499,0.037749
-7.52,-0.806776,0.037664
-7.51,-0.806054,0.037580
-7.50,-0.804400,0.037560
-7.49,-0.804614,0.037411
-7.48,-0.803896,0.037327
-7.47,-0.803180,0.037243
-7.46,-0.802465,0.037159
-7.45,-0.801751,0.037075
-7.44,-0.801037,0.036991
-7.43,-0.800325,0.036907
-7.42,-0.799613,0.036824
-7.41,-0.798901,0.036740
-7.40,-0.798189,0.036657
-7.39,-0.797477,0.036574
-7.38,-0.796765,0.036491
-7.37,-0.796053,0.036409
-7.36,-0.795340,0.036326
-7.35,-0.794626,0.036244
-7.34,-0.793912,0.036162
-7.33,-0.793196,0.036080
-7.32,-0.792479,0.035998
-7.31,-0.791761,0.035917
-7.30,-0.791041,0.035836
-7.29,-0.790319,0.035755
-7.28,-0.789595,0.035674
-7.27,-0.788869,0.035594
-7.26,-0.788140,0.035514
-7.25,-0.787410,0.035434
-7.24,-0.786676,0.035354
-7.23,-0.785940,0.035275
-7.22,-0.785201,0.035196
-7.21,-0.784460,0.035118
-7.20,-0.783717,0.035040
-7.19,-0.782972,0.034962
-7.18,-0.782225,0.034884
-7.17,-0.781476,0.034807
-7.16,-0.780725,0.034730
-7.15,-0.779972,0.034653
-7.14,-0.779218,0.034577
-7.13,-0.778463,0.034501
-7.12,-0.777706,0.034425
-7.11,-0.776948,0.034350
-7.10,-0.776189,0.034275
-7.09,-0.775429,0.034200
-7.08,-0.774668,0.034125
-7.07,-0.773907,0.034051
-7.06,-0.773145,0.033978
-7.05,-0.772382,0.033904
-7.04,-0.771619,0.033831
-7.03,-0.770856,0.033758
-7.02,-0.770093,0.033686
-7.01,-0.769330,0.033614
-7.00,-0.769100,0.033500
-6.99,-0.767804,0.033470
-6.98,-0.767041,0.033399
-6.97,-0.766278,0.033329
-6.96,-0.765516,0.033258
-6.95,-0.764753,0.033188
-6.94,-0.763990,0.033118
-6.93,-0.763227,0.033049
-6.92,-0.762464,0.032980
-6.91,-0.761701,0.032911
-6.90,-0.760938,0.032842
-6.89,-0.760174,0.032774
-6.88,-0.759409,0.032706
-6.87,-0.758645,0.032638
-6.86,-0.757879,0.032571
-6.85,-0.757113,0.032504
-6.84,-0.756347,0.032437
-6.83,-0.755580,0.032371
-6.82,-0.754812,0.032305
-6.81,-0.754043,0.032239
-6.80,-0.753273,0.032173
-6.79,-0.752502,0.032108
-6.78,-0.751731,0.032043
-6.77,-0.750958,0.031978
-6.76,-0.750184,0.031914
-6.75,-0.749410,0.031850
-6.74,-0.748633,0.031786
-6.73,-0.747856,0.031722
-6.72,-0.747078,0.031659
-6.71,-0.746299,0.031595
-6.70,-0.745518,0.031532
-6.69,-0.744737,0.031470
-6.68,-0.743955,0.031407
-6.67,-0.743173,0.031345
-6.66,-0.742390,0.031283
-6.65,-0.741606,0.031222
-6.64,-0.740822,0.031160
-6.63,-0.740037,0.031099
-6.62,-0.739253,0.031038
-6.61,-0.738467,0.030978
-6.60,-0.737682,0.030917
-6.59,-0.736897,0.030857
-6.58,-0.736112,0.030797
-6.57,-0.735326,0.030737
-6.56,-0.734541,0.030678
-6.55,-0.733756,0.030619
-6.54,-0.732972,0.030559
-6.53,-0.732188,0.030501
-6.52,-0.731404,0.030442
-6.51,-0.730621,0.030383
-6.50,-0.729600,0.030380
-6.49,-0.729056,0.030267
-6.48,-0.728275,0.030209
-6.47,-0.727494,0.030152
-6.46,-0.726714,0.030094
-6.45,-0.725935,0.030037
-6.44,-0.725157,0.029980
-6.43,-0.724379,0.029923
-6.42,-0.723602,0.029867
-6.41,-0.722826,0.029810
-6.40,-0.722051,0.029754
-6.39,-0.721276,0.029698
-6.38,-0.720503,0.029643
-6.37,-0.719730,0.029587
-6.36,-0.718958,0.029532
-6.35,-0.718187,0.029476
-6.34,-0.717416,0.029422
-6.33,-0.716647,0.029367
-6.32,-0.715878,0.029312
-6.31,-0.715111,0.029258
-6.30,-0.714344,0.029204
-6.29,-0.713578,0.029150
-6.28,-0.712813,0.029096
-6.27,-0.712049,0.029043
-6.26,-0.711286,0.028989
-6.25,-0.710524,0.028936
-6.24,-0.709763,0.028883
-6.23,-0.709003,0.028831
-6.22,-0.708243,0.028778
-6.21,-0.707485,0.028726
-6.20,-0.706727,0.028674
-6.19,-0.705971,0.028622
-6.18,-0.705215,0.028570
-6.17,-0.704459,0.028519
-6.16,-0.703705,0.028467
-6.15,-0.702951,0.028416
-6.14,-0.702197,0.028366
-6.13,-0.701444,0.028315
-6.12,-0.700692,0.028265
-6.11,-0.699940,0.028215
-6.10,-0.699189,0.028165
-6.09,-0.698438,0.028115
-6.08,-0.697687,0.028066
-6.07,-0.696937,0.028016
-6.06,-0.696187,0.027967
-6.05,-0.695437,0.027919
-6.04,-0.694687,0.027870
-6.03,-0.693938,0.027822
-6.02,-0.693189,0.027774
-6.01,-0.692440,0.027726
-6.00,-0.691900,0.027650
-5.99,-0.690941,0.027631
-5.98,-0.690192,0.027584
